year,url,file,local_file_date
2007,https://comtrade.un.org/api/get/bulk/C/A/2007/ALL/S4?token=OOUXrbbxyZtYsanP/tvVJzoB+dJ8tTednALDGwIGgqQgLkxIOeKrOL1+DmscZfIQtF8gCK7MBoZg8j+1FrMIGIkuvG2SzJk56uU7uy+UGjgcDlSajgT4P7mrDDNt0akWPbXzdnftU2KavTaiU9G0dQ==,01-raw-data-comtrade/sitc-rev4/type-C_r-ALL_ps-2007_freq-A_px-S4_pub-20171212_fmt-csv_ex-20171230.zip,2017-12-12
2008,https://comtrade.un.org/api/get/bulk/C/A/2008/ALL/S4?token=OOUXrbbxyZtYsanP/tvVJzoB+dJ8tTednALDGwIGgqQgLkxIOeKrOL1+DmscZfIQtF8gCK7MBoZg8j+1FrMIGIkuvG2SzJk56uU7uy+UGjgcDlSajgT4P7mrDDNt0akWPbXzdnftU2KavTaiU9G0dQ==,01-raw-data-comtrade/sitc-rev4/type-C_r-ALL_ps-2008_freq-A_px-S4_pub-20180726_fmt-csv_ex-20180828.zip,2018-07-26
2009,https://comtrade.un.org/api/get/bulk/C/A/2009/ALL/S4?token=OOUXrbbxyZtYsanP/tvVJzoB+dJ8tTednALDGwIGgqQgLkxIOeKrOL1+DmscZfIQtF8gCK7MBoZg8j+1FrMIGIkuvG2SzJk56uU7uy+UGjgcDlSajgT4P7mrDDNt0akWPbXzdnftU2KavTaiU9G0dQ==,01-raw-data-comtrade/sitc-rev4/type-C_r-ALL_ps-2009_freq-A_px-S4_pub-20180726_fmt-csv_ex-20180828.zip,2018-07-26
2010,https://comtrade.un.org/api/get/bulk/C/A/2010/ALL/S4?token=OOUXrbbxyZtYsanP/tvVJzoB+dJ8tTednALDGwIGgqQgLkxIOeKrOL1+DmscZfIQtF8gCK7MBoZg8j+1FrMIGIkuvG2SzJk56uU7uy+UGjgcDlSajgT4P7mrDDNt0akWPbXzdnftU2KavTaiU9G0dQ==,01-raw-data-comtrade/sitc-rev4/type-C_r-ALL_ps-2010_freq-A_px-S4_pub-20180910_fmt-csv_ex-20180927.zip,2018-09-10
2011,https://comtrade.un.org/api/get/bulk/C/A/2011/ALL/S4?token=OOUXrbbxyZtYsanP/tvVJzoB+dJ8tTednALDGwIGgqQgLkxIOeKrOL1+DmscZfIQtF8gCK7MBoZg8j+1FrMIGIkuvG2SzJk56uU7uy+UGjgcDlSajgT4P7mrDDNt0akWPbXzdnftU2KavTaiU9G0dQ==,01-raw-data-comtrade/sitc-rev4/type-C_r-ALL_ps-2011_freq-A_px-S4_pub-20180726_fmt-csv_ex-20180828.zip,2018-07-26
2012,https://comtrade.un.org/api/get/bulk/C/A/2012/ALL/S4?token=OOUXrbbxyZtYsanP/tvVJzoB+dJ8tTednALDGwIGgqQgLkxIOeKrOL1+DmscZfIQtF8gCK7MBoZg8j+1FrMIGIkuvG2SzJk56uU7uy+UGjgcDlSajgT4P7mrDDNt0akWPbXzdnftU2KavTaiU9G0dQ==,01-raw-data-comtrade/sitc-rev4/type-C_r-ALL_ps-2012_freq-A_px-S4_pub-20180910_fmt-csv_ex-20180927.zip,2018-09-10
2013,https://comtrade.un.org/api/get/bulk/C/A/2013/ALL/S4?token=OOUXrbbxyZtYsanP/tvVJzoB+dJ8tTednALDGwIGgqQgLkxIOeKrOL1+DmscZfIQtF8gCK7MBoZg8j+1FrMIGIkuvG2SzJk56uU7uy+UGjgcDlSajgT4P7mrDDNt0akWPbXzdnftU2KavTaiU9G0dQ==,01-raw-data-comtrade/sitc-rev4/type-C_r-ALL_ps-2013_freq-A_px-S4_pub-20180830_fmt-csv_ex-20180907.zip,2018-08-30
2014,https://comtrade.un.org/api/get/bulk/C/A/2014/ALL/S4?token=OOUXrbbxyZtYsanP/tvVJzoB+dJ8tTednALDGwIGgqQgLkxIOeKrOL1+DmscZfIQtF8gCK7MBoZg8j+1FrMIGIkuvG2SzJk56uU7uy+UGjgcDlSajgT4P7mrDDNt0akWPbXzdnftU2KavTaiU9G0dQ==,01-raw-data-comtrade/sitc-rev4/type-C_r-ALL_ps-2014_freq-A_px-S4_pub-20180830_fmt-csv_ex-20180908.zip,2018-08-30
2015,https://comtrade.un.org/api/get/bulk/C/A/2015/ALL/S4?token=OOUXrbbxyZtYsanP/tvVJzoB+dJ8tTednALDGwIGgqQgLkxIOeKrOL1+DmscZfIQtF8gCK7MBoZg8j+1FrMIGIkuvG2SzJk56uU7uy+UGjgcDlSajgT4P7mrDDNt0akWPbXzdnftU2KavTaiU9G0dQ==,01-raw-data-comtrade/sitc-rev4/type-C_r-ALL_ps-2015_freq-A_px-S4_pub-20180830_fmt-csv_ex-20180907.zip,2018-08-30
2016,https://comtrade.un.org/api/get/bulk/C/A/2016/ALL/S4?token=OOUXrbbxyZtYsanP/tvVJzoB+dJ8tTednALDGwIGgqQgLkxIOeKrOL1+DmscZfIQtF8gCK7MBoZg8j+1FrMIGIkuvG2SzJk56uU7uy+UGjgcDlSajgT4P7mrDDNt0akWPbXzdnftU2KavTaiU9G0dQ==,01-raw-data-comtrade/sitc-rev4/type-C_r-ALL_ps-2016_freq-A_px-S4_pub-20180831_fmt-csv_ex-20180908.zip,2018-08-31
